11.9759,20.8769,0
16.2723,9.1032,1
3.9627,20.8884,2
10.5108,14.9912,2
24.6397,24.251,3
11.4653,20.9689,0
15.6467,21.1575,0
11.4515,14.3495,2
23.2482,9.738,6
8.7766,15.3868,2
5.7889,16.8933,2
11.1939,21.2656,0
27.1421,21.7877,3
15.2143,10.0071,1
8.9951,9.5678,4
4.3951,20.1363,2
10.7523,25.4355,10
6.1132,16.1872,2
10.842,14.0896,2
14.3587,26.0542,5
25.1135,22.2385,23
24.435,8.5811,6
6.3064,16.8243,2
25.6862,23.1999,3
4.7677,28.5727,7
26.2198,5.7337,8
16.431,15.5317,9
15.7594,21.7693,0
16.3528,9.8783,1
25.5482,5.7107,8
9.6184,25.3987,10
21.6221,12.1691,11
12.1415,15.4742,2
26.8339,21.2219,3
12.3025,7.9969,4
11.4745,13.1673,2
12.0725,13.3904,2
10.5706,23.8761,10
27.2479,10.1842,12
6.0465,17.5051,2
7.4564,11.325,4
23.607,12.1553,11
22.0499,11.9115,11
10.6971,21.5508,0
21.7072,15.5754,13
11.785,14.7888,2
8.9215,10.0577,4
4.3905,27.8252,7
5.4899,10.957,14
12.5187,21.1506,0
27.1352,18.9265,15
9.5149,25.0882,10
17.4062,25.9024,16
25.7506,27.0731,17
15.6421,8.8663,1
27.2525,21.8613,3
12.6245,19.3405,18
15.6099,8.8709,1
7.9509,20.6975,2
6.6537,17.0198,2
20.2007,27.0363,19
15.7824,8.5811,1
22.5007,5.3381,20
27.0478,10.2854,12
10.7408,14.5588,2
26.1508,24.5753,3
12.1323,20.9252,0
10.9041,24.0095,10
8.1372,10.3015,4
25.3412,13.9631,15
26.6453,15.3546,15
16.4287,25.2883,16
12.291,21.1368,0
20.7343,19.95,21
25.1618,6.3064,8
17.0336,25.3665,16
5.4531,20.7067,2
25.8196,21.0839,3
22.2132,4.6412,20
16.845,12.9235,9
21.5485,26.9213,19
24.5431,28.6923,17
20.824,27.954,19
25.7437,6.3179,8
27.7378,16.9278,15
27.885,16.4747,15
14.2138,27.5331,5
18.3354,26.1554,16
